id,name,published_at,alternate_url,type,employer,department,area,experience,key_skills,schedule,employment,description,salary_from,salary_to,currency_salary
98772582,Junior Data Scientist,2024-05-13T10:29:24+0300,https://hh.ru/vacancy/98772582,Открытая,BlockShop,,Санкт-Петербург,Нет опыта,"['Data Analysis', 'Английский язык', 'Анализ данных', 'LLM', 'NLP', 'Data Science', 'Machine Learning', 'prompt engineering', 'JavaScript', 'PostgreSQL']",Удаленная работа,Проектная работа," DN Institute, a non-profit research institute, is looking for a Junior Data Scientist to join a research project centered around leveraging LLM-generated synthetic data for risk modeling. This can be a part-time or a full-time position with a flexible schedule and the possibility to assume more responsibilities. We are happy to hire someone with minimal experience, but willing to learn. Duties- Building pipelines for natural language data acquisition and transformation.- Prompt engineering for synthetic data generation.- Integrating and improving 3rd-party tools for Quality Assurance.- Contributing to scientific articles on natural language processing. Tools- Latest-gen LLM services from OpenAI, Anthropic, and Google.- MS Azure Notebooks (JavaScript)- Cloudflare Workers ecosystem (TypeScript)- Postgres-based time series and vector databases General Requirements- Fluent English. We are an international team and most of the work is done in English.- Basic JavaScript. We have a unified infrastructure with our technology partners, making the general understanding of JS/TS ecosystem indispensable.- Independence. There will be no marching orders. You are expected to organize your day, get the work done, and speak up when there&#39;s a problem.- Willingness to learn. We can teach you everything and don&#39;t have any strict experience requirements, but you must be willing to learn new tools every day. Evaluation, Hiring, and Onboarding process- Candidates are offered a small challenge to complete.- One of our team members will evaluate all successful challenge submissions and a set up 30-minute Google Meet call with selected candidates.- Candidates that made it to the next stage will be offered a 3-month full- or part-time research grant with specific milestones (goals) to achieve.- On your first day, you will be assigned a number of training issues to complete during your onboarding period and a dedicated onboarding buddy who will help you close them and answer any questions along the way.- At the end of the 3-month period, we will evaluate the results of your milestone together with you and negotiate a long-term position. Conditions- You&#39;ll be a part of a small team of software engineers and NLP scientists from around the world.- We follow Hygge work culture: https://hygge.work/- You will be offered a research grant with a choice of how and when you want to get paid. We are open to students and part-time candidates!- We have a clear and open research process on GitHub. You&#39;ll see the result of your work with zero red tape slowing things down.- We don&#39;t look over each other&#39;s shoulders and expect you to take the initiative, find things to do, and get them done.- We don&#39;t discriminate based on race, nationality, age, sex, sexual orientation, physical abilities, or political views. We expect the same from you. DN Institute is a resident of BlockShop incubator, a 501(c)(3) non-profit organization. It was created to support innovative projects with their software development and infrastructure needs. Over the years, we&#39;ve grown it into a diverse community that helps personal projects and startups take off and mature. It acts as an open-source foundation focusing on supporting technology that brings a positive impact on society and can benefit people beyond BlockShop. Our expertise spans across Software Development, IT Security, DevOps, AI, and Applied Linguistics. ",1500.0,,USD
98785809,Data Scientist,2024-05-13T11:52:17+0300,https://hh.ru/vacancy/98785809,Открытая,Лаборатория Касперского,,Москва,От 1 года до 3 лет,['Python'],Полный день,Полная занятость,"Kaspersky Antidrone - программно-аппаратный комплекс обнаружения и противодействия БПЛА (беспилотные летальные аппараты). Система защищает воздушное пространство от несанкционированных квадрокоптеров, дронов, беспилотников самолетного типа и другого типа гражданских БПЛА. Сейчас мы находимся в поиске специалиста на позицию Middle Computer Vision Engineer. Чем предстоит заниматься:  разрабатывать, внедрять, развивать и поддерживать СV решения; придумывать и проверять гипотезы; оптимизация и ускорение нейросетей; сбор и разметка данных.  Ты подходишь нам, если:  имеешь опыт работы в Deep Learning 1-3 года; имеешь опыт разработки на Python; имеешь навык работы с таими библиотеками как: Pytorch / TensorFlow, numpy, scikit-learn, pandas, scipy, opencv; умеешь разбирать статьи на английском языке. имеешь знание классического ML; имеешь опыт примениения таких нейросетевых архитектур как: ResNet, YOLO, Unet, LSTM… ; знания и опыт примениения таких нейросетевых архитектур как: ResNet, YOLO, Unet, LSTM; имеешь базовое понимание docker, git и linux.  Будет плюсом:  знания С++; опыт работы с ONNX, Tensorrt; опыт обработки цифровых сигналов; опыт анализа временных рядов. ",,,
98592181,Аналитик данных/Junior DATA SCIENTIST,2024-05-08T09:12:01+0300,https://hh.ru/vacancy/98592181,Открытая,БиАйЭй-Технолоджиз,,Москва,От 1 года до 3 лет,[],Полный день,Полная занятость,"Активно формируем новую команду для нашего крупнейшего логистического партнера ГК Деловые Линии. Мы в поиске Аналитика данных/Junior DATA SCIENTIST, который примет участие в создании платформы, где будут собираться разные задачи по внедрению ИИ для бизнеса Обязанности:   Предобработка данных: очистка, подготовка данных из разрозненных источников и их анализ с помощью различных инструментов, таких как SQL-запросы, формулы Excel, скрипты Python  Визуальное представление данных с использованием графиков, диаграмм, дашбордов, подготовка отчётов и презентаций  Разработка инструментов разметки для тренировки моделей   Дообучение готовых моделей (NLP, CV), тестирование правильности работы модели   Требования:  Опыт работы в pet-проектах или в коммерческих проектах от полугода до года Уверенные знания в областях: линейная алгебра, статистика, методы оптимизации, теория вероятности Python, базовое знание SQL, желателен навык работы (либо уверенные знания) с библиотеками для ML/DL задач (pandas, numpy, sklearn, scipy, xgboost / lightgbm / catboost, matplotlib) Понимание принципов работы системы BI  Условия:  Гибкий график работы (первые три месяца работы гибридный формат работы с обязательным посещением офиса) Официальное трудоустройство, социальные гарантии  Сильная команда middle и senior специалистов, развитое DS-сообщество, где есть возможность расти и обмениваться знаниями внутри команды  Внутреннее обучение и оплата внешних тренингов, семинаров и конференций, корпоративная библиотека ",,,
97838110,Стажер Data Science,2024-04-24T18:16:43+0300,https://hh.ru/vacancy/97838110,Открытая,Samokat.tech,,Москва,Нет опыта,[],Удаленная работа,Стажировка,"Привет!На связи продуктово-технологическая команда Samokat.tech. Мы начинаем поиски стажёра в команду Smart BI. Ребята в команде занимаются созданием бота-аналитика, который отвечает на различные вопросы по продажам в маркете. Используемый стек:   Python, стандартные ML-либы, SQL, OpenAI, FAISS, Telebot.   Чем предстоит заниматься:  исследовать опенсорсные LLM для замены GPT под задачу text2sql; собрать dataset для оценки; выделить набор кандидатов LLM и поднять их; сравнить качество нашего текущего решения и решения кандидатов; доообучить LLM; адаптировать бота под опенсорсную LLM.  Ожидания от будущего коллеги:  знание Python; знание SQL; понимание специфики LLM и NLP; техническое образование; умение обучаться; высокая мотивация.  Будет плюсом:  опыт работы с LLM; знания в области промпт-инжениринга.  Что готовы предложить:  оплачиваемую стажировку 3 месяца, с возможностью оформление в штат компании; уверенность и спокойствие: оформляем официально, даже на время стажировки, платим в белую; SkyEng, WorldClass, Skillbox, BestBenefits и множество скидок от других партнеров после прохождения стажировки; формат работы: полная удалёнка, гибрид или офис в Москве/ СПб - выбирай, как тебе комфортнее; ДМС со стоматологией и программу заботы о сотрудниках после шести месяцев работы; ипотека: льготные программы кредитования, как для ИТ-специалистов, так и корпоративные программы; высокопроизводительная техника: Lenovo, HP, DELL ноутбуки в топовых комплектациях.  Мы развиваем комьюнити по функциональным направлениям, проводим внутренние митапы. Участвуем во внешних конференциях – ходим послушать, рассказать о своём опыте и пообщаться. Делаем собственное внешнее мероприятие Samokat Tech Meetup. Помогаем нашим ребятам делиться опытом друг с другом и с внешним сообществом: готовим доклады, пишем статьи, публикуем опенсорс, дружим с экспертами и соседями по индустрии и многое другое! Если ты открыт для новых карьерных возможностей - то давай знакомиться. Процесс рассмотрения кандидатов: Общение с рекрутером - техническое интервью - оффер! Будет очень приятно почитать о тебе в сопроводительном письме)",,,
98797172,Data Scientist,2024-05-13T13:15:06+0300,https://hh.ru/vacancy/98797172,Открытая,Data-Driven Lab,,Москва,От 1 года до 3 лет,"['Data Science', 'Machine Learning', 'Математическое моделирование', 'Прогнозирование', 'Математическая статистика', 'Python', 'Машинное обучение']",Удаленная работа,Полная занятость,"О нас: Data-Driven Lab — международная IT-компания с головным офисом в Белграде. Мы используем передовые практики и реализуем масштабные проекты: наши самые известные продукты — это торговые платформы и финтех инструменты, доступные в 150 странах. Нам доверяют более 24 миллионов пользователей. Наша цель — сделать эти продукты самыми удобными в мире. Для достижения этой цели мы применяем исследования, анализ данных и оптимизированный маркетинг. Команда В нашей мультикультурной команде более 400 человек по всему миру. Мы поставили перед собой амбициозные цели, поэтому собираем одну из сильнейших команд профессионалов.Наши задачи сконцентрированы вокруг анализа поведения пользователей наших продуктов и оптимизации рекламных кампаний. Мы занимаемся оценкой ценности и сегментацией пользователей, созданием кастомных моделей рекламных компаний. Тебе предстоит:  Построение и внедрение ML-моделей совместно с командой маркетинга для оптимизации затрат на рекламные кампании; Поиск точек роста ключевых бизнес метрик компании через применение МММ (marketing-mix-model); Разработка математических моделей прогнозирования (предиктивное моделирование), решений в области анализа данных, машинного обучения; Небольшое количество Ad-hoc задач, связанных с анализом данных, для лучшего погружения в наши процессы; Взаимодействие с внутренними заказчиками для согласования и формализации задач; Доведение моделей до production стадии, контроль работы моделей, оценка результатов.  Мы ожидаем от тебя:  Опыт работы на позиции ML инженера/Data Scientist’a от 2х лет; Опыт программирования на Python, в том числе опыт использования основных библиотек для работы с данными и машинного обучения, pandas, numpy, catboost, xgboost, pytorch, prophet; Опыт построения и успешного применения ML моделей в маркетинге; Знание и понимание методов машинного обучения; Опыта моделирования/проведения оценки качества моделей; Опыт работы с Airflow или с любым другим ETL-конвейером; Сильная математическая подготовка, уверенные знания в области математической статистики; Опыт работы BI инструментами (Tableau, Power BI); Опыт работы с SQL.  Будет плюсом:  Опыт запуска ML моделей в продакшен и MLOps; Учеба на одном из факультетов: ФКН, ФИВТ, ФУПМ, ВМК; Опыт построения МММ (marketing-mix-model) моделей; Опыт работы с временными рядами; Опыт в проведении A\B тестов.  Мы предлагаем:   Реальную возможность для каждого влиять на результат и процессы;   Высокую скорость и гибкость в принятии решений;   Использование современных технологий и лучших мировых практик в работе;   Работу в мультикультурной команде экспертов;   Постоянные челенджи и возможность выбора инструментов и путей решения проблем;   Возможность работы и трудоустройства в любой точке мира;   Активную корпоративную жизнь: клубы по интересам, открытый микрофон, корпоративные ивенты;   Комфортные условия: медицинская компенсация, конкурентная зарплата, уютные и удобные офисы, гибридный режим работы или полностью remote.   Welcome to DDL!",,,
96112641,Data scientist / Эксперт по разработке математических моделей (риски),2024-04-27T13:46:47+0300,https://hh.ru/vacancy/96112641,Открытая,Почта Банк,Почта Банк. Экспертам и руководителям,Москва,От 1 года до 3 лет,"['Python', 'SQL', 'Sas', 'Скоринговые модели', 'кредитные риски']",Полный день,Полная занятость,"ЧЕМ ПРЕДСТОИТ ЗАНИМАТЬСЯ:  Создание/обновление/поддержание статистических моделей оценки компонентов риска и других; Сбор/загрузка/очистка данных для разработки моделей; Работа с новыми источниками данных, контроль работы контрагентов; Построение предиктивных моделей (как с бинарным, так и с интервальным таргетом), построение моделей без таргета; Внедрение методов ML и иных продвинутых техник для повышения производительности моделей; Постановка задач, связанных с оптимизацией процесса кредитования для математического моделирования; Статистический анализ кредитной истории клиента/рисков, разработка и тестирование гипотез; Проведение A/B тестов; Формирование технической документации и контроль внедрения разработанных моделей.  ЧТО МЫ ЖДЕМ ОТ КАНДИДАТА:  Образование высшее техническое или математическое. Дополнительное образование в области data science; Опыт построения математических моделей от 2-х лет; понимание метрик оценки качества математических моделей; Знание методов построения ML моделей - желательно; Python – библиотеки, связанных с моделированием - желательно; SQL - на уровне формирования запросов, понимание основ работы с реляционными базами данных; Excel - на уровне продвинутого пользователя; Знание SAS Base/SAS Macro/SAS Stat/SAS Eminer - желательно что-то из перечисленного, рассматриваем как большой плюс; Математический склад ума, логическое мышление, знание математической статистики и теории вероятности; Умение связно, четко и последовательно излагать математические гипотезы и результаты моделирования простым и понятным бизнесу языком; Умение грамотно излагать свои мысли и достижения в письменном и графическом виде; Желание учиться и развиваться в области управления рисками в части построения моделей и продвинутого анализа данных.  УСПЕШНОМУ КАНДИДАТУ ГОТОВЫ ПРЕДЛОЖИТЬ:  Работу в стабильной компании; Возможность развития профессиональных качеств; Амбициозные задачи и интересные проекты; Официальное трудоустройство по ТК РФ; Офис класса А в шаговой доступности от м. Крестьянская Застава (ул. Воронцовская, 43); Возможность гибридного формата работы; Заботу о здоровье: ДМС со стоматологией (после 1го месяца работы), ДМС для родственника со скидкой; Сервис круглосуточной психологической поддержки; Корпоративную программу скидок и привилегий от партнеров Почта Банк;    Просьба при отклике, в сопроводительном письме, указать уровень дохода, на который вы ориентируетесь. Спасибо! Ждем Ваш отклик!",,,
98460540,Junior Data Scientist,2024-05-06T12:31:04+0300,https://hh.ru/vacancy/98460540,Открытая,Гибрид,,Тамбов,От 1 года до 3 лет,"['Python', 'Анализ данных', 'Математическая статистика', 'Data Analysis', 'Spark']",Удаленная работа,Полная занятость,"Hybrid — независимый adtech холдинг. Представляет собой programmatic экосистему с собственным стеком разработок для любых рекламных целей с использованием алгоритмов AI, ML и Big Data.Основным продуктом является Hybrid Platform — глобальная programmatic платформа для аукционных закупок рекламного инвентаря, ретаргетинга, performance оптимизации, post-campaign аналитики и т.д.Также в холдинг входят:● VOX — AI-vision платформа, специализирующаяся на in-image форматах● Hybe — In-house платформа для продвижения мобильных приложений бренда● Flamp — Creative Management Platform по автоматизации работы с креативами В связи с расширением штата мы в поиске компетентных соискателей, желающих развиваться и развивать! Обязанности:  Выполнять задачи, связанные с DS экспериментами и разработкой Изучать статьи/литературу Проактивно участвовать в развитии бизнеса компании, искать точки роста, тестировать гипотезы, искать инсайты на основе анализа данных Вникать в предметную область, общаться с бизнесом  Требования:  Знать основы статистики и статистических методов Знать особенности объектно-ориентированного программирования Знать, как выбирать и разрабатывать фичи для моделей машинного обучения Знать модели классического машинного обучения, такие как логистическая регрессия и ансамблевые алгоритмы на основе деревьев решений Понимать специфику ETL, включая работу с базами данных и преобразование данных в фичи Понимать, как развертываются модели с помощью таких инструментов, как Docker, Airflow или аналогичных систем Представлять, как работают методы векторизации текста Представлять, как работают нейронные сети с временными рядами или графами Представлять, как устроена архитектура микросервисов  Стек: Pandas, Numpy, Scikit-Learn, LightGBM, Pytorch, ONNX, Docker, PySpark, Clickhouse Условия:   Работа в международной компании с крупнейшими рекламодателями   Возможность удаленной работы  ",,80000.0,RUR
98711725,Data Scientist,2024-05-11T21:42:24+0300,https://hh.ru/vacancy/98711725,Открытая,ИЦ АЙ-ТЕКО,,Москва,От 1 года до 3 лет,[],Удаленная работа,Полная занятость,"КОМПАНИЯ «АЙ-ТЕКО»- ведущий российский системный интегратор и поставщик информационных технологий для корпоративных заказчиков. Активно действует на рынке IT России с 1997 года, входит в ТОП-400 крупнейших российских компаний, ТОП-10 крупнейших IT-компаний России.ТРЕБОВАНИЯ:   отличные теоретические знания в ML/ DL; опыт дообучения текстовых трансформеров (BERT/ GPT/ T5/LLM); опыт построения моделей на численных данных и нетекстовых последовательностях (LSTM/ RNN/ transformer); опыт работы с промышленным данными и вывода в продакшен; уверенное владение PyTorch и библиотеками для ML/DL задач; знание SQL.ЧТО МЫ ПРЕДЛАГАЕМ: Работу в аккредитованной ИТ-компании, белую заработную плату; График работы 5/2, удаленный формат работы; Оформление в соответствии с ТК РФ с первого дня рабочего дня Работу в команде, использующей гибкий подход к разработке; Мы заботимся о здоровье наших сотрудников: предоставляем корпоративные скидки на посещение фитнес-клубов, ДМС с первого месяца работы.ОТКЛИКАЙСЯ =) ЖДУ КОГДА ВМЕСТЕ ПОРАДУЕМСЯ ТВОЕМУ ОФФЕРУ)P.S. ФОРМАТ РАБОТЫ - УДАЛЕНКА, ГИБРИД ИЛИ ОФИС. ",,,
98594437,Data Scientist,2024-05-08T09:40:53+0300,https://hh.ru/vacancy/98594437,Открытая,НИТУ МИСИС,,Москва,От 1 года до 3 лет,[],Полный день,Полная занятость,"Университет науки и технологий МИСИС является одним из лидеров технологического образования в России, динамично развивающимся научно-образовательным центром мирового уровня. В университете сформирована творческая интернациональная академическая атмосфера, мы будем рады принять в нашу команду ученых, исследователей, специалистов, способных в совместной работе решать важнейшие научно-технологические задачи на благо всего человечества. Центр отчетности анализа и прогнозирования НИТУ МИСИС приглашает на работу аналитика Data Science. Чем предстоит заниматься:  Участие в проектировании и реализации решений в области AI/ML для ключевых проектов университета; Формирование, интеграция и оптимизация алгоритмов ML, OCR, NLP; Глубокий анализ и подготовка данных для обучения алгоритмов; Тестирование и отладка программного кода; Представление результатов моделирования для руководящего звена.  Что мы ожидаем от вас:  Высшее образование; Качественный опыт работы в областях Data Mining и Data Science от 1 года; Хорошие знания математической статистики и математического аппарата современных ML/DL алгоритмов; Знание принципов организации обработки и хранения больших объёмов данных; Отличное знание Python и научных библиотек (Numpy, SciPy, Pandas, scikit-learn); Уверенное знание SQL и умение работы с типовыми РСУБД; Доп: Хорошее знание экосистемы Apache Hadoop (Spark 2+, Hive, Hue).  Условия работы:  Работа в ведущем университете страны; Расположение в центре, 3 мин. от м. Октябрьская и Парка Горького; 5/2, рабочий день с 9-15 до 17-45 (офис/гибрид); Оформление в соответствии с ТК РФ; Льготы и скидки от партнеров (фитнес, культурные мероприятия); Комфортный офис, корпоративная столовая; Бесплатные спортивные тренировки для сотрудников в тренажерных залах и бассейне университета; Бесплатные консультации психолога; Ежегодное комплексное медицинское обследование. ",150000.0,,RUR
97615359,Junior Data Scientist / Младший аналитик данных,2024-04-22T12:25:28+0300,https://hh.ru/vacancy/97615359,Открытая,АДВ,,Москва,Нет опыта,"['Python', 'Математическая статистика', 'Обучение и развитие', 'Статистический анализ', 'Прогнозирование', 'Математический анализ']",Полный день,Полная занятость,"АДВ Tech – дивизион, где создаются уникальные технологичные продукты на стыке big data и AI. Эти продукты меняют рекламную индустрию и облегчают работу сотрудников агентств. Мы приглашаем тебя на позицию Junior Data Scientist. Основные задачи:  Разработка и улучшение модулей инструментов медиапланирования Разработка алгоритмов оптимизации (в основном дискретной оптимизации) Исследование и построение моделей по данным интернет-пользования и рекламным кампаниям Разработка веб-скреперов Построение дашбордов  Для нас важно:  Отличное знание Python 3.6+, алгоритмов и структур данных Навыки манипуляции с данными (pandas) Использование Git Знание статистики Понимание классических алгоритмов машинного обучения Умение визуализировать данные  Будет плюсом:  Опыт коммерческой разработки Знания медиа статистик Общее представление о CI/CD Опыт работы с big data   ",,,
