id,name,published_at,alternate_url,type,employer,department,area,experience,key_skills,schedule,employment,description,salary_from,salary_to
98591518,Аналитик данных,2024-05-08T09:02:21+0300,https://hh.ru/vacancy/98591518,Открытая,Капиталбанк,,Ташкент,Нет опыта,"['Python', 'Pandas', 'MS Excel', 'B2B']",Полный день,Полная занятость,"Что вас ждет:  Исследование данных с помощью Python и Pandas Мастерство в Excel – ваше второе я, от простых таблиц до сложных динамических отчетов Глубокое погружение в мир B2B банкинга и клиентского сервиса, анализ процессов и выявление точек роста Статистический анализ данных. Будет здорово, если вы знакомы и с этим!  Мы ценим:   Ваш опыт с Python и Pandas – это ключевые инструменты в вашем арсенале Любовь к Excel и всему, что можно сделать с помощью этой программы Любопытство и желание разбираться в данных, чтобы найти нечто новое Опыт в сфере B2B банкинга или клиентского сервиса – большой плюс, но не обязателен Умение работать в команде, общаться с коллегами и делиться знаниями  Мы предлагаем:  Работу в крупном, надежном и прогрессивном банке, №1 в рейтинге частных банков Достойную, конкурентную зарплату, учитывая ваши пожелания и опыт Все официально по ТК РУз, «белая» зарплата, отпуска (21 день по ТК РУз+7дней дополнительного отпуска) Премирование к праздникам и единовременные выплаты за выполнение важных производственных заданий Корпоративную мобильную связь Материальную поддержку банка в сложных жизненных ситуациях Выгодную программу кредитования для сотрудников (проработавших в банке больше 1 года) График работы 5/2, с 9.00 до 18.00 Корпоративное обучение, как от внутреннего отдела обучения, так и от внешних провайдеров Место работы: ул. Фидокор, 32 ",,
98568204,Data Analyst уровня Junior/Junior+,2024-05-07T18:46:20+0300,https://hh.ru/vacancy/98568204,Открытая,Центр Мобильной Идентификации,,Алматы,От 1 года до 3 лет,"['Python', 'SQL', 'Pandas', 'Tableau', 'Математическая статистика', 'MS Excel', 'Грамотная речь', 'Грамотность', 'PostgreSQL', 'Clickhouse', 'Matplotlib', 'Английский язык', 'Jupyter Lab']",Полный день,Полная занятость," Компания Центр Мобильной Идентификации создана в 2020 году. Своей целью мы ставим внедрение инновационных телеком и финтех проектов на рынке Республики Казахстан. Наши решения ориентированы на взаимодействие между бизнесом и его клиентами за счет внедрения продуктов с понятными и безопасными интерфейсами. В своих решениях мы используем технологии, которые активно развиваются и защищаются всемирной ассоциацией операторов связи GSMA и другими законодателями телекоммуникационного рынка. Наша компания сотрудничает с крупными сотовыми и фиксированными телекоммуникационными компаниями в РК, государственными органами и коммерческими организациями. В настоящее время мы являемся разработчиком и поставщиком комплексных решений в области маркетинговых коммуникаций и дополнительных услуг (VAS).    Задачи   Настройка и оптимизация отчётности в Tableau, создание и автоматизация обновления источников данных Tableau.   Сбор, обработка и анализ данных – проверка гипотез, анализ метрик продуктов, оценка эффективности работы сервисов и т. п.   Ad-hoc аналитика – расчет метрик, когортный анализ, воронки событий и т. п.   Взаимодействие с бизнесом и IT.   Внесение предложений по улучшению бизнес-процессов.   Основные требования   Высшее образование (приоритетно – математика, IT, физика).   Опыт работы с Python и основными библиотеками для работы c данным – pandas, NumPy, SciPy, Matplotlib и т. п.   Опыт работы с SQL (умение применять множественные объединения, табличные выражения, оконные функции).   Опыт работы с BI-инструментами.   Знания основ математической статистики, принципов когортного анализа, построения воронок событий, проведения А/Б тестов, основных продуктовых метрик.   Базовые знания Microsoft Excel.   Знание русского языка на уровне, достаточном для постоянного общения с командой и партнерами, чтения и постановки задач коллегам, грамотность.   Будет плюсом   Опыт в телеком секторе.   Опыт работы с СУБД PostgreSQL и ClickHouse.   Опыт работы с Tableau и Tableau Hyper API.   Опыт в маркетинговой аналитике.   Базовые знания git.   Знание английского языка на уровне B1 и выше.   Навыки создания и проведения презентаций.    Условия Работа в офисе г.Алматы - с 9.00 до 18.00; Выходные - суббота, воскресенье; Возможна работа в г. Астана; Возможна гибридная работа. ",,
98601996,Аналитик данных (Junior),2024-05-08T11:03:41+0300,https://hh.ru/vacancy/98601996,Открытая,Московская Биржа,,Москва,Нет опыта,"['SQL', 'Анализ данных']",Полный день,Полная занятость,"В 2022 году Московской бирже исполнилось 30 лет. Мы появились вместе с современной Россией и за эти годы с нуля создали рынок инвестиций. Сегодня миллионы людей и тысячи компаний доверяют нам и пользуются нашей инфраструктурой.  Ежедневно на наших торговых платформах совершаются миллионы транзакций в минуту – без задержек, без перебоев. Мы храним в депозитарии цифровые записи о каждом активе, который торгуется на бирже. Мы следим за тем, чтобы все операции соответствовали правилам торгов и требованиям регуляторов.  А еще мы активно развиваемся и давно вышли за рамки классического биржевого бизнеса.  Мы разрабатываем и поддерживаем платформы, которые соединяют финансовые компании и клиентов, Мы идем на внебиржевой рынок и создаем на нем удобные сервисы, Мы открываем новые возможности для инвесторов, корпораций, банков. Мы развиваем финансовую культуру страны.  В #moexteam уже больше 2200 человек: ИТ-специалисты и эксперты по развитию рынков, продуктовые и проектные менеджеры, финансисты и юристы, маклеры и многие другие. Мы разные, но всех нас объединяет общая цель – помочь людям и компаниям управлять деньгами, используя передовые технологии и знания. В Отдел продуктовой и клиентской аналитики открыта вакансия «Аналитик данных (Junior)» (на финансовую платформу &quot;Финуслуги&quot;). Чем предстоит заниматься  Реализация отчетов на DWH/BI по реферальным программа/программе лояльности/клиентским сегментам Визуализация отчетности и данных в BI Участие в развитии DWH/BI Формирование заключений и гипотез по итогам проведенного анализа.  Мы ожидаем от вас  Базовые знания и опыт использования SQL на уровне извлечения и преобразования данных Теоретические знания реляционных баз данных и SQL.   ",,
98623059,Junior Python Developer/ Data Analyst (Агентство Starlink),2024-05-08T15:21:04+0300,https://hh.ru/vacancy/98623059,Открытая,RoRe Group,,Москва,Нет опыта,"['Python', 'SQL', 'Математическая статистика']",Полный день,Полная занятость,"Рекламное агентство Starlink в поисках Junior Python Developer/ Data Analyst Starlink – полносервисное медиаагентство, мы входим в ТОП-12 медиаагентств России. Наша команда – это более 200 профессионалов своего дела, готовых поддерживать начинающих специалистов на их карьерном пути. Мы – эксперты в медиапланировании, цифровых технологиях и аналитике, интернет-маркетинге, креативе, разработке и реализации маркетинговых кампаний 360. Среди наших клиентов: ЦИАН, hh.ru, Профи, Hisense, Burger King, Greenfield, Мираторг и многие другие. Обязанности:   Разработка под руководством старшего сотрудника коннекторов к API рекламных кабинетов и компаний, проводящих медиа/маркетинговые исследования   Парсинг данных из открытых источников с помощью библиотек Python   Организация хранения данных в SQL базах, настройка периодического запуска скриптов;   Структурирование и очистка данных для использования в моделях машинного обучения;   Помощь сотрудникам отдела в автоматизации процессов.   Какие навыки идеальны для этой позиции:  Опыт работы не обязателен Высшее образование  Владение Python (основы языка + библиотеки: pandas, numpy, requests), Jupyter Notebook, PyCharm (или аналоги)   Знания в Excel, SQL, математическая статистика   Умение читать HTML и JavaScript будет плюсом   Условия  Официальное трудоустройство по ТК РФ с первого дня работы Офисный формат работы График – понедельник – пятница с 10.00 до 18.30 Адрес: Технопарк «Семеновский»: 6 минут от метро Электрозаводская и 15 минут от Преображенской площади ДМС со стоматологией после испытательного срока (3 месяца) Фрукты, чай и кофе в офисе Клуб по изучению английского языка с частичной компенсацией от компании Клубы по интересам (настолки, мафия, йога и т.д.), богатая корпоративная культура    Быть частью команды Starlink – это: Регулярное обучение и развитие  Обучение на практике: вовлечение в процессы команды, погружение в специфику работы через разноплановые задачи на реальных проектах под присмотром старших коллег Семинары, бизнес-тренинги, круглые столы на актуальные темы: от искусственного интеллекта в рекламе до практик по работе с возражениями Онлайн университет с широким набором профессиональных курсов Система индивидуальных планов развития для сотрудников Профессиональная библиотеке с книгами по маркетингу, рекламе, менеджменту, психологии Разговорный английский клуб со скидкой 50% прямо в офисе    Забота о сотрудниках:  ДМС со стоматологией после испытательного срока Кофе, чай, молоко на любой вкус и много фруктов для поддержания иммунитета 7 day offs в году на случай плохого самочувствия Онлайн-йога для укрепления тела и духа Mental Health сессии Материальная поддержка от Starlink в трудных жизненных ситуациях    Теплая атмосфера и корпоративная жизнь:  Клубы по интересам: книжный клуб, квизы, вечера настолок, караоке в офисе, кино, благотворительность Праздники и вечеринки, летний и зимний корпоративы, мероприятия внутри департаментов Корпоративные конференции и живой диалог с акционерами и руководством агентства –каждый сотрудник может задать волнующий вопрос и поделиться своим мнением Опросы вовлеченности сотрудников Для любителей активного времяпрепровождения – у нас есть своя футбольная команда ",,
98463457,Data Analyst (junior),2024-05-06T12:52:06+0300,https://hh.ru/vacancy/98463457,Открытая,ФЛАУВАУ,,Москва,Нет опыта,[],Удаленная работа,Полная занятость,"Flowwow - маркетплейс, где продают свои товары тысячи локальных магазинов в 950 городах. Наша платформа позволяет из любой точки мира заказать, оплатить и отследить доставку цветов, тортов, украшений, картин и других товаров— для себя и близких. Нашей команде важно создавать качественный и удобный сервис, который делает счастливыми тысячи людей по всему миру. Факты о Flowwow:  Представлены в 63 странах, более чем в 1150 городах; У нас 21 категория товаров и 13 000 магазинов-партнеров; В день выполнялось до 160 тыс. заказов. В 2023 году было выполнено ~ 3 000 000 заказов; На платформе более 4 000 000 клиентских отзывов после заказов.    Что нужно делать:   Выполнение базового анализа данных;   Написание SQL-запросов для извлечения данных из БД;   Подготовка Ad-Hoc отчетов, консультации смежных команд и прочая аналитика по запросам;   Наши ожидания от кандидата:   Умение писать SQL запросы на уровне оконных функций, CTE, а также их оптимизировать;   Владение базовым функционалом и основными библиотеками Python;   Знание основ статистики и теории вероятностей;   Самостоятельность: умение гуглить, думать, пробовать решить проблему, не бояться спрашивать;   Умение презентовать результаты своих исследований и объяснять сложные вещи простыми словами;     Условия:   С первого дня:  работа в технологической компании над сервисом, приносящим пользу сотням тысяч людей; официальное трудоустройство; полис ДМС; свобода принятий решений, ответственность за свои действия на основе данных; культура открытости и взаимопомощи: у нас работают люди, вовлеченные в процесс и не безразличные к тому, что они делают; возможность быстро реализовать свои идеи и чувствовать вклад в общий успех; удалённая работа или современный комфортный офис в центре Москвы на ваш выбор; сложные задачи и быстрый профессиональный рост.    После прохождения испытательного срока:  компенсация расходов на занятия спортом; возможность проходить профильные курсы/обучение за счет компании; подписка на консультации с психологом (по необходимости). ",,
98553489,Младший аналитик данных,2024-05-07T15:06:35+0300,https://hh.ru/vacancy/98553489,Открытая,Ростелеком - Центры обработки данных,,Москва,Нет опыта,[],Полный день,Полная занятость,"В направление BI требуется сотрудник на должность аналитика, который будет вместе с нами обрабатывать данные и делать из них красивые, понятные и информативные отчеты. Вместе с нами ты будешь:  обрабатывать данные из реляционных СУБД с помощью языка SQL; заниматься задачами ETL; участвовать в проектировании и разработке систем аналитики; создавать в системах импортозамещенного технологического стека аналитические панели и дашборды; вести прикладные расчеты «по требованию» в среде MS Excel;  осуществлять работы в соответствии с современными стандартами разработки прикладного ПО.     Мы готовы рассматривать кандидатов:   без соответствующего опыта в области BI;   выпускников ВУЗов (законченный уровень «бакалавр»; естественно-научный, технический, экономический профили);   готовность не менее 2-х в раз неделю очно присутствовать в офисе.     Мы ожидаем, что ты:  уверенно владеешь программой MS Excel; умеешь четко формулировать и грамотно излагать свои мысли; готов(а) много и самостоятельно разбираться в данных; готов(а) интенсивно учиться.  Что предлагаем взамен:   Официальное трудоустройство по ТК РФ;   Работа в аккредитованной IT компании;   Достойная заработная плата обсуждается индивидуально с каждым кандидатом (в зависимости от опыта);   График работы 5/2 с пн-пт, гибрид;   Социальный пакет (ДМС, оплата мобильной связи);   Корпоративная программа лояльности (профессиональное обучение, фитнес-активности, обучение языкам, подписка Wink и многое другое).   Важно: у нас есть тестовое задание, которое готовы выслать в случае заинтересованности в вакансии.",,
98574276,Junior Data Analyst,2024-05-07T20:21:25+0300,https://hh.ru/vacancy/98574276,Открытая,Xometry Europe GmbH,,Алматы,От 1 года до 3 лет,"['SQL', 'Математический анализ', 'Аналитика', 'Python', 'Power BI', 'Анализ данных', 'Аналитическое мышление', 'Работа с базами данных', 'Работа с большим объемом информации', 'Английский язык']",Удаленная работа,Полная занятость,"Xometry (NASDAQ: XMTR) powers the industries of today and tomorrow by connecting the people with big ideas to the manufacturers who can bring them to life. Xometry’s digital marketplace gives manufacturers the critical resources they need to grow their business while also making it easy for buyers at Fortune 1000 companies to tap into global manufacturing capacity. We are growing and expanding our team of Junior Data Analyst. Therefore, we are looking for a Junior Data Analyst to strengthen one of our teams in supporting their stakeholders in data-driven decision making regarding pricing. This position is a full-time job and involves actively creating and sharing data related knowledge, providing BI tools to stakeholders and analytics to management. Responsibilities:  Actively participate in pricing decisions by providing data-driven insights, formulating optimization proposals, setting up experiments and evaluating results. Support leadership in making strategic and tactical decisions based on extensive data analysis. Perform analysis of pricing and competitive data and provide insights and recommendations Help to manage the collection of pricing and competitive market data by working directly with external data miners to obtain data needed to build research. Participate in the development of methodology for defining key metrics, related tables and needed calculations  Successful candidate has  Technical mindset and (at least) a Bachelor&#39;s degree in Technical Science: Applied Mathematics, Computer Science or other related field. Strong knowledge of mathematics and basic knowledge of mathematical statistics. 1+ years of experience in quantitative modeling, development, or implementation Working experience in data manipulation and advanced data analysis Experience with SAS, R, Python, and proficiency working with large datasets is required Applied experience with Logistic Regression, Linear Regression, Survival Analysis, Time Series Analysis, Decision Trees, and Cluster Analysis Experience as analyst/data science preferably in b2b/b2c marketplaces   Hands-on experience with SQL and Python for processing and analysis (must). Critical thinking ability to perceive complex, ambiguous, abstract requirements and break them down into smaller components, schemes, types and characteristics. Demonstrated ability to work independently and be a self-starter. Ability to work effectively in a team, both in a leadership and support role. Willingness to work in a startup environment with constantly evolving goals. Proficiency in English at a level not lower than B2 (must)    Examples of problems to be solved:  Using market pricing and competitive data develop an understanding of where Xometry sits in the market as compared to our competitors from a pricing perspective Understand the trade off between price, conversion, and long term value and propose optimizations to maximise revenue and gross profit Setup and run A/B tests and perform analysis to determine the results of the A/B test Optimise the the pricing and lead time for customers based on the fluctuating capacity of the market    Work conditions  Full-time job. Home office + contract as an Individual Entrepreneur Salary (fixed in Euros) to be discussed with each candidate Successful startup as a global market leader (1000+ people globally) Compatible time zone with American time zone:for candidates from Kazakhstan, working hours are 2.00pm-10.00pmfor candidates from Georgia, Armenia working hours 12.00-8.00pmfor candidates from Serbia - 10.00am-6.00pm  Here at Xometry we believe in diversity, equity, inclusion and belonging. We are committed to welcoming, respecting and valuing people for who they are as individuals, learning from their differences, embracing their uniqueness and providing a positive workplace for all.   Xometry is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.",,
97717700,Аналитик данных стажер/junior,2024-05-08T13:37:26+0300,https://hh.ru/vacancy/97717700,Открытая,Интерактивное агентство Это Легко,,Москва,Нет опыта,"['Power BI', 'API', 'Аналитическое мышление', 'Базы данных']",Удаленная работа,Полная занятость,"Привет! Меня зовут Ален Погосов, я руководитель медиабаингового агентства Это Легко. В нашей компании открылась позицию: Аналитик данных (junior/стажер) Мы очень увлечены автоматизацией – сделали специальный инструмент для маркетологов, чтобы им было легче работать с аналитикой и оптимизировать рекламные кампании. Сейчас наша задача создать систему отчетов и дашбордов. У нас есть открытая возможность для специалиста без опыта создать собственный кейс работы и развития. Мы готовы помочь вам освоить все навыки и поддержать вас в вашем росте.   О нас:  Все сотрудники работают удаленно по всему миру Наши клиенты – крупные рекламодатели по всему миру (Европа, США, Латинская Америка, Азия) Наш продукт – лиды (контакты потенциальных клиентов) с оплатой за результат (CPA модель оплаты) В настоящий момент мы разрабатываем решение по оптимизации рекламных кампаний для affiliate рынка (для команд и соло-медиабаеров) traffadviser.com    Что мы ждем от кандидата:  Начальные знания PowerBI, Google Data Studio или другой BI системы Желательно, базовое знание Python или PHP (для настройки API) Внимательность, ответственность, усидчивость Открытость, вовлеченность в процесс, ориентация на общий результат и интересы бизнеса    Задачи:  На базе PowerBI, Google Data Studio или другой BI системы создать для нас систему отчетов и дашбордов для каждого отдела. В дальнейшем мы готовы расширить зону ответственности и давать более сложные задачи    Будет огромным преимуществом:  Пройденное обучение по аналитике данных или Data Science    Условия:  Зарплата и KPI по результатам собеседования График 5/2, полный рабочий день Испытательный срок 3 месяца Удаленная работа Теплая атмосфера компании Возможность вырасти и попасть в команду разработки внутренних сервисов    После отклика мы пришлем вам краткую анкету для заполнения, после этого свяжемся с вами и договоримся о собеседовании. Поэтому в отклике обязательно укажите, сможете ли вы заполнить нашу анкету и прошу кратко сформулировать, почему нам стоит выбрать именно вас!",,
98339999,Junior Data Analyst (работа в офисе),2024-05-06T13:57:51+0300,https://hh.ru/vacancy/98339999,Открытая,Between Exchange,,Москва,Нет опыта,"['Анализ данных', 'Аналитика', 'Работа с базами данных', 'Аналитическое мышление', 'Аналитические исследования']",Полный день,Полная занятость,"Наша технологическая компания, специализирующейся на digital рекламе, в связи с активным развитием ищет в команду специалиста, который любит аналитику, цифры и все что с этим связано. Если это про Вас, то в сопроводительном письме к отклику напишите пожалуйста несколько слов почему Вам хотелось бы присоединиться к нашей команде. Так же обратите пожалуйста внимание, что у нас работа в офисе (не &quot;удаленка&quot;). Обязанности:  Анализ данных Настройка необходимых параметров в системах Отслеживание выполнения заданных параметров, оптимизация Ответственность за выполнение поставленных задач Взаимодействие с сотрудниками других подразделений компании. Выявление технических проблем работы систем и совместная работа над повышением эффективности работы Коммерческая отчетность Выполнение дополнительных поручений руководства в рамках своих компетенций и полномочий  Требования:  Законченное высшее техническое образование в области математики и информационных технологий Отличные коммуникативные навыки Высокий уровень ответственности Склонность к аналитике. Системность. Любовь к цифрам, графикам и таблицам Готовность 80% рабочего времени уделять работе в системах, заниматься анализом данных, настраивать, тестировать и оптимизировать Опыт работы в области digital рекламы - приветствуется  Условия:  Работа в быстрорастущей компании Оформление согласно ТК РФ Эксклюзивный доступ к новейшим технологиям рынка Карьерный и профессиональный рост Заработную плату обязательно обсудим по результату собеседования Комфортный офис с панорамным видом в центре Москвы (3 мин. от м. Новокузнецкая) Частичная оплата ДМС График работы 5/2 с 10:00 до 19:00, работа в офисе.   ",,
98355269,Senior Data Analyst,2024-05-06T16:17:47+0300,https://hh.ru/vacancy/98355269,Открытая,Kimikosoft,,Ташкент,От 3 до 6 лет,"['Data Analysis', 'Data Visualization', 'Tableau']",Полный день,Полная занятость,"Conditions: - Schedule: 5/2; 7-hour workday; flexible work schedule. - Work in the office in Tashkent or remotely. - Reimbursement of courses, business trips, and conferences for professional development. - 50% reimbursement of foreign language course fees. - 50% reimbursement of sports activities fees. - 50% reimbursement of medical expenses. - 50% reimbursement of the cost of books of any genre. - Opportunity to receive quarterly bonuses. - Opportunity to purchase necessary work equipment. - Paid vacation: 20 working days per year. - Friendly and responsive team, reasonable management.   Job Responsibilities: - Data Strategy: Lead the development and implementation of a robust data strategy for the Analytics department, in collaboration with the Data Engineer, ensuring data accuracy, relevance, and integrity. - Dashboard Design and Prototyping: Oversee the creation of initial dashboard drafts, ensuring alignment with client and management feedback, and actively contribute to the design process by leveraging your expertise as a Data Analyst. - Visualization Development: Guide the transformation of prepared data into final, polished dashboards that effectively communicate insights and support data-driven decision-making. Utilize your skills as a Data Analyst to ensure accurate data representation and meaningful visualizations. - Client Collaboration: Directly engage with clients to understand their specific dashboard needs, conduct interviews to clarify objectives and visualization preferences, and provide expert consultation throughout the process. Leverage your analytical skills to identify key insights and translate them into actionable visualizations. - Dashboard Iteration and Improvement: Lead the iterative process of presenting drafts to clients, incorporating their feedback, and refining visualizations to meet their evolving needs and expectations. Apply your expertise as a Data Analyst to refine and enhance the visualizations based on client input.   Job Requirements: - Extensive experience as a Data Analyst or Data Visualization Specialist, demonstrated through a strong portfolio showcasing successful data visualization projects. - Proficiency in leading data visualization tools such as Tableau or similar software, with the ability to guide the team in leveraging advanced features and functionalities. Utilize your expertise to drive the effective use of visualization tools within the department. - Solid understanding of data management and data quality principles, with the ability to establish and enforce data governance standards within the Analytics department. Apply your knowledge to ensure data integrity throughout the analytics process. - Strong analytical skills with a proven ability to interpret complex data, identify key insights, and guide the team in deriving actionable recommendations. Utilize your analytical expertise to drive data-driven decision-making. - In-depth knowledge of data cleansing, transformation, and aggregation techniques, with the ability to ensure data integrity throughout the visualization process. Apply your skills to ensure accurate and reliable data for visualization purposes. - Excellent communication and presentation skills, with the ability to effectively convey insights, recommendations, and strategies to both technical and non-technical stakeholders. Leverage your communication skills to bridge the gap between analytics and business stakeholders. - Proven ability to collaborate with cross-functional teams, including data engineers, business analysts, and senior leadership, to drive the successful implementation of analytics projects. Utilize your collaborative skills to foster effective teamwork and achieve project goals. - Strong problem-solving skills and a proactive, independent work approach, with the ability to identify and address challenges and opportunities in the analytics domain. Apply your problem-solving skills to drive innovative solutions and improve analytics processes. - English proficiency level: B2 or higher, with the ability to effectively communicate in both written and verbal forms.",3500.0,
