id,skills
77320677,финансовый анализ
77320677,анализ финансовых показателей
77320677,бизнес-анализ
77320677,анализ бизнес показателей
77320677,финансовая отчетность
77992314,data mining
77992314,статистический анализ
77992314,анализ бизнес показателей
77992314,прогнозирование
77992314,android
77992314,vba
77992314,sql
78465611,g
78465611,кредитные риски
78465611,портфельные риски
78465611,статистика
78465611,управление рисками
78465611,статистический анализ
78465611,python
78465611,p
78465611,powerpoint
78465611,ad
78465611,sql
78465611,оценка рисков
78465611,математическое моделирование
79889558,
79889558,data catalog
79889558,data governance
79889558,business glossary
79889558,dmbok dama
81857296,writing articles
81857296,fluent english
81857296,data mining
81857296,information technology
81857296,public speaking
81857296,
81857296,research
81857358,writing articles
81857358,fluent english
81857358,data mining
81857358,information technology
81857358,public speaking
81857358,
81857358,research
82175755,bi
82175755,sql
82175755,аналитика данных
82175755,анализ рисков
82901165,
82901165,статистика
82901165,математическое моделирование
82901165,python
82901165,базы данных
82901165,математическая статистика
82901165,математический анализ
82901165,
82901165,теория вероятностей
82901165,hadoop
82901165,data analysis
82901165,машинное обучение
82901165,
82901165,работа с большим объемом информации
82901165,sql
82901165,spark
83387482,python
83387482,sql
83387482,excel
83575438,статистика
83575438,scala
83575438,typescript
83575438,python
83575438,базы данных
83575438,elastic search
83575438,spark
83575438,clickhouse
83575438,mysql
83575438,php
83575438,sql
83575438,nlp
84682175,bi
84682175,python
84682175,power bi
84682175,hadoop
84682175,субд
84682175,data analysis
84682175,sql
84682175,git
84682175,oracle
85598149,управление проектами
85598149,power bi
85598149,ms outlook
85598149,работа в команде
85598149,excel
85598149,проведение презентаций
85598149,excel
85598149,работа с большим объемом информации
85598149,business intelligence systems
85598149,консультирование
85598149,пользователь пк
85598149,ms access
85598149,sql
85598149,деловая переписка
85598149,etl
85598149,английский язык
85598149,база данных: olap
85598149,аналитика продаж
85598149,powerpoint
85598149,ms project
85598149,грамотная речь
85598149,vba
85598149,olap (online analytical processing)
86018279,математическое моделирование
86018279,python
86018279,математический анализ
86018279,r
86018279,прогнозирование
86018279,sql
86018279,nlp
86018279,spark
86081569,
86081569,numpy
86081569,python
86081569,pandas
86081569,прогнозирование
86212079,bi
86212079,sql
86516038,excel
86879304,математическое моделирование
86879304,python
86879304,прогнозирование
86879304,big data
86879304,
86879304,sql
86879304,nlp
86879304,spark
87192229,python
87192229,прогнозирование
87192229,
87192229,hadoop
87192229,dl
87192229,nlp
87192229,spark
87400111,keras
87400111,pytorch
87400111,статистика
87400111,numpy
87400111,английский язык
87400111,python
87400111,pandas
87400111,базы данных
87400111,sklearn
87400111,sql
87400111,tensorflow
87684971,
87684971,аналитика
87684971,python
87684971,ms sql
87684971,powerpoint
87684971,excel
87684971,excel
87684971,работа с большим объемом информации
87684971,sql
87684971,аналитическое мышление
88321524,
88321524,bi
88321524,планирование и организация
88321524,power bi
88321524,python
88321524,powerpoint
88321524,power bi
88321524,умение работать в условиях многозадачности
88321524,аналитические навыки
88321524,excel
88321524,sql
88321524,power query
88404984,bi
88404984,аналитические исследования
88404984,power bi
88404984,python
88404984,бизнес-анализ
88404984,powerpoint
88404984,power bi
88404984,excel
88404984,excel
88404984,sql
88404984,power query
88934917,numpy
88934917,python
88934917,pandas
88934917,hadoop
88934917,sql
88934917,git
88934917,airflow
88934917,hive
88934917,spark
88986598,статистика
88986598,numpy
88986598,pandas
88986598,hadoop
88986598,sql
88986598,git
89016090,etl
89016090,ms sql
89016090,clickhouse
89016090,hadoop
89016090,субд
89016090,postgresql
89016090,sql
89016090,airflow
89016090,hive
89016090,spark
89237775,linux
89237775,numpy
89237775,python
89237775,pandas
89237775,
89237775,субд
89237775,ci\\cd
89237775,sql
89237775,airflow
89275616,linux
89275616,etl
89275616,python
89275616,analytical thinking
89275616,git
89275616,airflow
89426458,
89426458,bi
89426458,аналитика
89426458,статистика
89426458,power bi
89426458,python
89426458,clickhouse
89426458,google analytics
89426458,tableau
89426458,работа с большим объемом информации
89426458,sql
89426458,яндекс.метрика
89667235,
89667235,аналитика
89667235,excel
89667235,финансовый анализ
89667235,python
89667235,google docs
89667235,работа в условиях многозадачности
89667235,google таблицы
89667235,работа в команде
89667235,продвинутый пользователь пк
89667235,excel
89667235,грамотная речь и письмо
89667235,работа с большим объемом информации
89667235,sql
89667235,аналитическое мышление
89724613,
89724613,deep learning
89724613,статистика
89724613,английский язык
89724613,python
89724613,прогнозирование
89724613,
89724613,визуализация
89724613,data analysis
89724613,
89724613,sql
89724613,
89761049,pytorch
89761049,deep learning
89761049,linux
89761049,computer vision
89761049,numpy
89761049,python
